network,kernel,alpha,lam_star,nu_star,I_low,I_high,delta,n_bistable
Synthetic_poisson_k2,Diversity preferred,0.09999999999999999,0.004714866363457394,10.0,0.0009439243441068596,0.2611893063283337,0.26024538198422686,89
Synthetic_poisson_k2,Diversity preferred,0.7498942093324559,0.004094915062380427,10.0,0.0016312566997571441,0.38558675887192734,0.38395550217217017,122
Synthetic_poisson_k2,Diversity preferred,5.62341325190349,0.0026826957952797246,10.0,0.0013272748004683717,0.5847059353167724,0.583378660516304,153
Synthetic_poisson_k2,Diversity preferred,42.169650342858226,0.005428675439323859,10.0,7.49089195244059e-05,0.8182586287994356,0.8181837198799111,374
Synthetic_poisson_k2,Diversity preferred,316.2277660168379,0.1206792640639329,7.461538461538462,-1.885293696028078e-06,0.95024854022254,0.9502504255162361,563
Synthetic_poisson_k3,Diversity preferred,0.09999999999999999,0.0035564803062231283,10.0,0.0028789735769470183,0.5200630053168384,0.5171840317398914,132
Synthetic_poisson_k3,Diversity preferred,0.7498942093324559,0.0030888435964774815,10.0,0.003827382615949526,0.5725384042910733,0.5687110216751238,133
Synthetic_poisson_k3,Diversity preferred,5.62341325190349,0.0020235896477251575,10.0,0.00015357965403808792,0.6705809226221066,0.6704273429680685,200
Synthetic_poisson_k3,Diversity preferred,42.169650342858226,0.004714866363457394,10.0,0.00011955309800738999,0.8676069821795711,0.8674874290815637,405
Synthetic_poisson_k3,Diversity preferred,316.2277660168379,0.0517947467923121,8.384615384615385,1.3428696333418281e-06,0.9652765498959754,0.9652752070263421,582
Thiers13,Diversity preferred,0.09999999999999999,0.022229964825261947,10.0,0.0019531317715330426,0.0933256804222775,0.09137254865074446,54
Thiers13,Diversity preferred,0.7498942093324559,0.009540954763499943,10.0,0.0025675699626201034,0.13751881607222297,0.13495124610960285,35
Thiers13,Diversity preferred,5.62341325190349,0.005428675439323859,10.0,0.007653323489429908,0.45421986377453344,0.4465665402851035,95
Thiers13,Diversity preferred,42.169650342858226,0.012648552168552958,9.307692307692308,0.00044891829053785937,0.7610850594678089,0.7606361411772711,293
Thiers13,Diversity preferred,316.2277660168379,0.2811768697974231,6.769230769230769,-3.15082643347658e-05,0.9327438118330921,0.9327753200974268,537
Synthetic_poisson_k2,Diversity tension,0.09999999999999999,0.0023299518105153716,10.0,0.0019164554265530085,0.16393950821185152,0.16202305278529852,49
Synthetic_poisson_k2,Diversity tension,0.7498942093324559,0.001,8.846153846153847,0.003041268701974246,0.023267173614921477,0.02022590491294723,0
Synthetic_poisson_k2,Diversity tension,5.62341325190349,0.001757510624854791,7.461538461538462,0.0004855430732372689,0.0023115088500553194,0.0018259657768180506,0
Synthetic_poisson_k2,Diversity tension,42.169650342858226,0.001,7.923076923076923,8.150085178991203e-05,0.0006844863235836451,0.0006029854717937331,0
Synthetic_poisson_k3,Diversity tension,0.09999999999999999,0.0013257113655901094,10.0,0.004554818298056601,0.265526438066077,0.2609716197680204,71
Synthetic_poisson_k3,Diversity tension,0.7498942093324559,0.0011513953993264468,8.384615384615385,0.004319546950208367,0.029999357489072353,0.025679810538863986,0
Synthetic_poisson_k3,Diversity tension,5.62341325190349,0.0020235896477251575,7.0,0.00031359495884029145,0.0018113315127029307,0.0014977365538626393,0
Synthetic_poisson_k3,Diversity tension,42.169650342858226,0.001757510624854791,7.230769230769231,0.00040805043669298746,0.0009125919373155766,0.0005045415006225892,0
Synthetic_poisson_k3,Diversity tension,316.2277660168379,0.0020235896477251575,6.769230769230769,0.0,0.025402172105072805,0.025402172105072805,0
Thiers13,Diversity tension,0.09999999999999999,0.03906939937054617,10.0,0.0031363250705199546,0.0903341948083486,0.08719786973782864,89
Thiers13,Diversity tension,0.7498942093324559,0.016768329368110083,10.0,0.010752858625728052,0.08220617650459032,0.07145331787886226,51
Thiers13,Diversity tension,5.62341325190349,0.0023299518105153716,10.0,0.004574247859099841,0.02360899434642788,0.01903474648732804,0
Thiers13,Diversity tension,316.2277660168379,0.005428675439323859,10.0,0.004444069196075757,0.014820326169333917,0.010376256973258158,0
Synthetic_poisson_k2,Tension shifted,0.09999999999999999,0.0030888435964774815,10.0,6.303567471931477e-05,0.6200289308839837,0.6199658952092644,207
Synthetic_poisson_k2,Tension shifted,0.7498942093324559,0.0062505519252739755,9.076923076923077,0.00040765336110679335,0.6225684628148151,0.6221608094537083,208
Synthetic_poisson_k2,Tension shifted,5.62341325190349,0.004094915062380427,9.76923076923077,0.0002099337306567105,0.6371173254969706,0.636907391766314,221
Synthetic_poisson_k2,Tension shifted,42.169650342858226,0.008286427728546842,9.307692307692308,0.0002414965691139512,0.6792603545354869,0.679018857966373,276
Synthetic_poisson_k2,Tension shifted,316.2277660168379,0.05963623316594643,7.461538461538462,9.100308303814996e-09,0.6350856321952092,0.6350856230949009,259
Synthetic_poisson_k3,Tension shifted,0.09999999999999999,0.0026826957952797246,10.0,6.134932247574908e-05,0.7396453942229261,0.7395840449004504,249
Synthetic_poisson_k3,Tension shifted,0.7498942093324559,0.005428675439323859,9.076923076923077,0.00029555417703292457,0.7422401483088115,0.7419445941317785,251
Synthetic_poisson_k3,Tension shifted,5.62341325190349,0.0035564803062231283,9.76923076923077,0.00022467548407599722,0.7583887226153704,0.7581640471312944,261
Synthetic_poisson_k3,Tension shifted,42.169650342858226,0.008286427728546842,9.076923076923077,0.00012758857972766993,0.8062540304216096,0.8061264418418819,312
Synthetic_poisson_k3,Tension shifted,316.2277660168379,0.03906939937054617,7.6923076923076925,-1.3479181078975452e-08,0.7887061217035664,0.7887061351827475,284
Thiers13,Tension shifted,0.09999999999999999,0.004714866363457394,10.0,0.00020340447431606404,0.4042490228114303,0.4040456183371143,118
Thiers13,Tension shifted,0.7498942093324559,0.004714866363457394,10.0,0.0001764992023496843,0.40374648467673113,0.40356998547438144,118
Thiers13,Tension shifted,5.62341325190349,0.005428675439323859,10.0,0.0034982952823955967,0.4223978137359087,0.4188995184535131,134
Thiers13,Tension shifted,42.169650342858226,0.008286427728546842,9.76923076923077,0.0002702679229863395,0.4290456568690521,0.42877538894606576,189
Thiers13,Tension shifted,316.2277660168379,0.15998587196060574,6.769230769230769,-1.8928841282082642e-07,0.38168075791402395,0.3816809472024368,188
